,1,5,10,50,100,500,1000
-100,54.0,54.0,54.0,54.0,54.0,54.0,54.0
-95,66.67,66.67,66.67,66.67,66.67,66.67,66.67
-90,72.67,72.67,72.67,72.67,72.67,72.67,72.67
-85,76.67,76.67,76.67,76.67,76.67,76.67,76.67
-80,78.0,78.0,78.0,78.0,78.0,78.0,78.0
-75,78.67,78.67,78.67,78.67,78.67,78.67,78.67
-70,51.33,51.33,51.33,51.33,51.33,51.33,51.33
-65,54.0,58.67,58.67,58.67,58.67,58.67,58.67
-60,62.67,64.67,64.67,64.67,64.67,64.67,64.67
-55,63.33,63.33,63.33,63.33,63.33,63.33,63.33
-50,66.0,66.0,66.0,66.0,66.0,66.0,66.0
-45,74.0,74.67,74.67,74.67,74.67,74.67,74.67
-40,84.67,85.33,85.33,85.33,85.33,85.33,85.33
-35,90.67,90.0,90.0,90.0,90.0,90.0,90.0
-30,94.0,92.67,92.67,92.67,92.67,92.67,92.67
-25,95.33,95.33,95.33,95.33,95.33,95.33,95.33
-20,95.33,94.67,95.33,95.33,95.33,95.33,95.33
-15,95.33,95.33,95.33,96.67,96.67,96.67,96.67
-10,94.67,95.33,95.33,96.0,96.67,96.67,96.67
-5,96.0,95.33,95.33,94.67,94.67,95.33,95.33
0,95.33,95.33,94.67,95.33,95.33,96.0,96.0
5,96.0,95.33,96.67,96.0,96.67,95.33,96.0
10,95.33,96.0,96.0,94.67,96.0,95.33,94.0
15,95.33,96.0,95.33,94.0,95.33,95.33,94.67
20,95.33,96.0,96.0,97.33,94.67,95.33,95.33
25,94.67,95.33,96.0,98.0,97.33,95.33,95.33
30,94.67,96.67,95.33,96.0,98.0,96.0,95.33
35,79.33,95.33,98.0,96.67,98.67,96.67,96.0
40,62.0,94.67,96.0,96.67,96.67,98.0,96.0
45,91.33,94.67,95.33,96.0,96.67,98.0,97.33
50,66.67,93.33,94.67,95.33,97.33,98.67,98.0
55,33.33,90.67,94.0,96.67,96.0,96.67,98.67
60,33.33,90.67,92.67,95.33,96.67,96.67,98.67
65,33.33,50.0,78.67,94.67,94.67,96.67,96.67
70,33.33,66.67,93.33,94.67,94.67,95.33,96.0
75,33.33,33.33,50.0,92.67,95.33,98.0,97.33
80,33.33,33.33,33.33,92.0,93.33,96.0,96.67
85,33.33,33.33,33.33,92.0,90.67,95.33,95.33
90,33.33,33.33,33.33,50.0,90.0,94.67,95.33
95,33.33,33.33,33.33,79.33,90.0,94.67,95.33
100,33.33,33.33,33.33,33.33,66.67,92.67,94.67
